,Unnamed: 0,Nome do veículo,CNPJ do veículo,Agência/Contratada,CNPJ da Agência/Contratada,Nome da ação,Data início da veiculação,Data término da veiculação,Valor negociado (R$),Valor desembolso anunciante (R$),Grupo,Tipo televisão,Formato,Ano ação,Ano autorização,Status da veiculação
32240,3388,GLOBO NEWS,27.865.757/0001-02,CALIA/Y2,04.784.569/0001-46,CAMPANHA AUXILIO BRASIL - TV,25/10/2021,05/11/2021,"R$ 9.422,40000","R$ 8.951,28000",GLOBO,FECHADA,30,2021,2021,Veiculado
32241,3389,GLOBO NEWS,27.865.757/0001-02,CALIA/Y2,04.784.569/0001-46,CAMPANHA AUXILIO BRASIL - TV,25/10/2021,05/11/2021,"R$ 2.241,20000","R$ 2.129,14000",GLOBO,FECHADA,30,2021,2021,Veiculado
32270,3418,GLOBO NEWS,27.865.757/0001-02,FIELDS,03.509.498/0001-00,CAMPANHA AUXILIO BRASIL FASE II - TV ABERTA - FECHADA - MERCHANDISING,25/11/2021,06/12/2021,"R$ 29.109,60000","R$ 27.654,12000",GLOBO,FECHADA,30,2021,2021,Veiculado
32271,3419,GLOBO NEWS,27.865.757/0001-02,FIELDS,03.509.498/0001-00,CAMPANHA AUXILIO BRASIL FASE II - TV ABERTA - FECHADA - MERCHANDISING,25/11/2021,06/12/2021,"R$ 0,00000","R$ 0,00000",GLOBO,FECHADA,30,2021,2021,Veiculado
32275,3423,CNN Brasil,32.161.939/0001-24,FIELDS,03.509.498/0001-00,CAMPANHA AUXILIO BRASIL FASE II - TV ABERTA - FECHADA - MERCHANDISING,25/11/2021,06/12/2021,"R$ 44.000,00000","R$ 41.800,00000",,FECHADA,30,2021,2021,Veiculado
32276,3424,JOVEM PAN NEWS TV,56.137.979/0001-07,FIELDS,03.509.498/0001-00,CAMPANHA AUXILIO BRASIL FASE II - TV ABERTA - FECHADA - MERCHANDISING,25/11/2021,06/12/2021,"R$ 5.100,00000","R$ 4.845,00000",JOVEM PAN,FECHADA,30,2021,2021,Veiculado
32277,3425,JOVEM PAN NEWS TV,56.137.979/0001-07,FIELDS,03.509.498/0001-00,CAMPANHA AUXILIO BRASIL FASE II - TV ABERTA - FECHADA - MERCHANDISING,25/11/2021,06/12/2021,"R$ 40.500,00000","R$ 38.475,00000",JOVEM PAN,FECHADA,30,2021,2021,Veiculado
32331,3479,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Reforma Tributária,23/08/2021,23/08/2021,"R$ 7.878,00000","R$ 7.484,10000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
32338,3486,JOVEM PAN NEWS TV,56.137.979/0001-07,CALIA/Y2,04.784.569/0002-27,Governo Fraterno,20/12/2021,31/12/2021,"R$ 21.600,00000","R$ 20.520,00000",JOVEM PAN,FECHADA,FILME HDTV,2021,2021,Veiculado
32348,3496,CNN Brasil,32.161.939/0001-24,CALIA/Y2,04.784.569/0002-27,Peste Suína Africana,12/11/2021,26/11/2021,"R$ 33.000,00000","R$ 31.350,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
32375,3523,CNN Brasil,32.161.939/0001-24,CALIA/Y2,04.784.569/0002-27,Desestatização dos Serviços Postais,09/08/2021,10/08/2021,"R$ 7.700,00000","R$ 7.315,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
32385,3533,GLOBO NEWS,27.865.757/0001-02,CALIA/Y2,04.784.569/0002-27,Desestatização dos Serviços Postais,05/08/2021,06/08/2021,"R$ 29.078,40000","R$ 27.624,48000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
32390,3538,CNN Brasil,32.161.939/0001-24,CALIA/Y2,04.784.569/0002-27,Governo Fraterno,25/12/2021,25/12/2021,"R$ 13.200,00000","R$ 12.540,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
32391,3539,GLOBO NEWS,27.865.757/0001-02,CALIA/Y2,04.784.569/0002-27,Governo Fraterno,25/12/2021,25/12/2021,"R$ 11.755,80000","R$ 11.168,01000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
32392,3540,JOVEM PAN NEWS TV,56.137.979/0001-07,CALIA/Y2,04.784.569/0002-27,Governo Fraterno,21/12/2021,31/12/2021,"R$ 16.500,00000","R$ 15.675,00000",JOVEM PAN,FECHADA,FILME HDTV,2021,2021,Veiculado
32419,3567,GLOBO NEWS,27.865.757/0001-02,CALIA/Y2,04.784.569/0002-27,Governo Fraterno,03/01/2022,03/01/2022,"R$ 2.284,30000","R$ 2.170,08000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
32420,3568,JOVEM PAN NEWS TV,56.137.979/0001-07,CALIA/Y2,04.784.569/0002-27,Governo Fraterno,01/01/2022,01/01/2022,"R$ 4.800,00000","R$ 4.560,00000",JOVEM PAN,FECHADA,FILME HDTV,2021,2021,Veiculado
32555,3703,CNN Brasil,32.161.939/0001-24,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Campanha 5G,18/11/2021,18/11/2021,"R$ 13.200,00000","R$ 12.540,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
32603,3751,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Governo Honesto,08/02/2022,08/02/2022,"R$ 2.703,00000","R$ 2.567,85000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
32617,3765,CNN Brasil,32.161.939/0001-24,CALIA/Y2,04.784.569/0002-27,Governo Fraterno,21/12/2021,30/12/2021,"R$ 44.000,00000","R$ 41.800,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
32618,3766,GLOBO NEWS,27.865.757/0001-02,CALIA/Y2,04.784.569/0002-27,Governo Fraterno,21/12/2021,30/12/2021,"R$ 68.796,00000","R$ 65.356,20000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
32619,3767,GLOBO NEWS,27.865.757/0001-02,CALIA/Y2,04.784.569/0002-27,Governo Fraterno,21/12/2021,31/12/2021,"R$ 20.558,70000","R$ 19.530,76000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
32677,3825,JOVEM PAN NEWS TV,56.137.979/0001-07,CALIA/Y2,04.784.569/0002-27,Governo Fraterno,03/01/2022,03/01/2022,"R$ 5.100,00000","R$ 4.845,00000",JOVEM PAN,FECHADA,FILME HDTV,2021,2021,Veiculado
32680,3828,CNN Brasil,32.161.939/0001-24,CALIA/Y2,04.784.569/0002-27,Governo Fraterno,22/12/2021,31/12/2021,"R$ 34.980,00000","R$ 33.231,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
32681,3829,CNN Brasil,32.161.939/0001-24,CALIA/Y2,04.784.569/0002-27,Governo Fraterno,20/12/2021,29/12/2021,"R$ 39.600,00000","R$ 37.620,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
32682,3830,CNN Brasil,32.161.939/0001-24,CALIA/Y2,04.784.569/0002-27,Governo Fraterno,18/12/2021,27/12/2021,"R$ 52.800,00000","R$ 50.160,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
32692,3840,CNN Brasil,32.161.939/0001-24,CALIA/Y2,04.784.569/0002-27,Governo Fraterno,21/12/2021,31/12/2021,"R$ 79.200,00000","R$ 75.240,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
32694,3842,JOVEM PAN NEWS TV,56.137.979/0001-07,CALIA/Y2,04.784.569/0002-27,Governo Fraterno,25/12/2021,25/12/2021,"R$ 4.800,00000","R$ 4.560,00000",JOVEM PAN,FECHADA,FILME HDTV,2021,2021,Veiculado
32748,3896,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Governo Trabalhador,22/01/2022,30/01/2022,"R$ 14.105,60000","R$ 13.400,32000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
32749,3897,JOVEM PAN NEWS TV,56.137.979/0001-07,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Governo Trabalhador,20/01/2022,27/01/2022,"R$ 15.300,00000","R$ 14.535,00000",JOVEM PAN,FECHADA,FILME HDTV,2021,2021,Veiculado
32750,3898,JOVEM PAN NEWS TV,56.137.979/0001-07,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Governo Trabalhador,22/01/2022,29/01/2022,"R$ 9.600,00000","R$ 9.120,00000",JOVEM PAN,FECHADA,FILME HDTV,2021,2021,Veiculado
32751,3899,JOVEM PAN NEWS TV,56.137.979/0001-07,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Governo Trabalhador,19/01/2022,28/01/2022,"R$ 67.500,00000","R$ 64.125,00000",JOVEM PAN,FECHADA,FILME HDTV,2021,2021,Veiculado
32759,3907,CNN Brasil,32.161.939/0001-24,NOVA S/B,57.118.929/0002-18,Governo Trabalhador,19/01/2022,27/01/2022,"R$ 10.642,50000","R$ 10.110,37000",,FECHADA,FILME HDTV,2021,2021,Veiculado
32772,3920,CNN Brasil,32.161.939/0001-24,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Campanha de Prestação de Contas,08/11/2021,24/11/2021,"R$ 79.200,00000","R$ 75.240,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
32777,3925,JOVEM PAN NEWS TV,56.137.979/0001-07,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Campanha 5G,20/11/2021,20/11/2021,"R$ 3.000,00000","R$ 2.850,00000",JOVEM PAN,FECHADA,FILME HDTV,2021,2021,Planejado
32781,3929,CNN Brasil,32.161.939/0001-24,CALIA/Y2,04.784.569/0002-27,Combate aos Incêndios Florestais - Complementar,30/08/2021,31/08/2021,"R$ 52.800,00000","R$ 50.160,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
32821,3969,GLOBO NEWS,27.865.757/0001-02,CALIA/Y2,04.784.569/0002-27,Governo Fraterno,01/01/2022,03/01/2022,"R$ 19.089,00000","R$ 18.134,55000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
32827,3975,GLOBO NEWS,27.865.757/0001-02,NOVA S/B,57.118.929/0002-18,Governo Trabalhador,20/12/2021,30/12/2021,"R$ 37.842,00000","R$ 35.949,90000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
32828,3976,GLOBO NEWS,27.865.757/0001-02,NOVA S/B,57.118.929/0002-18,Governo Trabalhador,21/12/2021,31/12/2021,"R$ 78.624,00000","R$ 74.692,80000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
32877,4025,JOVEM PAN NEWS TV,56.137.979/0001-07,CALIA/Y2,04.784.569/0002-27,Governo Fraterno,21/12/2021,29/12/2021,"R$ 6.600,00000","R$ 6.270,00000",JOVEM PAN,FECHADA,FILME HDTV,2021,2021,Veiculado
32993,4141,GLOBO NEWS,27.865.757/0001-02,Companhia de Comunicação e Publicidade Ltda,69.277.291/0001-66,Campanha Nacional de Vacinação contra a Covid-19 em 2021- Fase 5 - CC/P,12/05/2021,31/05/2021,"R$ 44.460,00000","R$ 42.237,00000",GLOBO,FECHADA,30,2021,2021,Veiculado
33494,4642,GLOBO NEWS,27.865.757/0001-02,NOVA S/B,57.118.929/0001-37,Campanha Nacional de Vacinação contra a Covid-19 em 2021- Fase 6 - NOVASB,02/06/2021,02/06/2021,"R$ 6.669,00000","R$ 6.335,55000",GLOBO,FECHADA,30,2021,2021,Veiculado
33495,4643,GLOBO NEWS,27.865.757/0001-02,NOVA S/B,57.118.929/0001-37,Campanha Nacional de Vacinação contra a Covid-19 em 2021- Fase 6 - NOVASB,02/06/2021,02/06/2021,"R$ 5.421,00000","R$ 5.149,95000",GLOBO,FECHADA,30,2021,2021,Veiculado
33496,4644,GLOBO NEWS,27.865.757/0001-02,NOVA S/B,57.118.929/0001-37,Campanha Nacional de Vacinação contra a Covid-19 em 2021- Fase 6 - NOVASB,02/06/2021,02/06/2021,"R$ 4.563,00000","R$ 4.334,85000",GLOBO,FECHADA,30,2021,2021,Veiculado
33497,4645,CNN Brasil,32.161.939/0001-24,NOVA S/B,57.118.929/0001-37,Campanha Nacional de Vacinação contra a Covid-19 em 2021- Fase 6 - NOVASB,02/06/2021,02/06/2021,"R$ 13.200,00000","R$ 12.540,00000",,FECHADA,30,2021,2021,Veiculado
33536,4684,CNN Brasil,32.161.939/0001-24,FIELDS,03.509.498/0001-00,Campanha Nacional de Vacinação contra a Covid-19 em 2021- Fase 5 - FIELDS,12/05/2021,31/05/2021,"R$ 22.000,00000","R$ 20.900,00000",,FECHADA,30,2021,2021,Veiculado
33549,4697,GLOBO NEWS,27.865.757/0001-02,CALIX PROPAGANDA,05.893.556/0001-78,Campanha Casa Verde e Amarela (Tv),26/03/2022,31/05/2022,"R$ 22.860,80000","R$ 21.717,76000",GLOBO,FECHADA,30,2021,2022,Veiculado
33550,4698,GLOBO NEWS,27.865.757/0001-02,CALIX PROPAGANDA,05.893.556/0001-78,Campanha Casa Verde e Amarela (Tv),26/03/2022,31/05/2022,"R$ 96.232,00000","R$ 91.420,40000",GLOBO,FECHADA,30,2021,2022,Veiculado
33698,4846,CNN Brasil,32.161.939/0001-24,CALIA/Y2,04.784.569/0002-27,Governo Fraterno,18/12/2021,25/12/2021,"R$ 9.900,00000","R$ 9.405,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
33699,4847,CNN Brasil,32.161.939/0001-24,CALIA/Y2,04.784.569/0002-27,Governo Fraterno,20/12/2021,31/12/2021,"R$ 28.380,00000","R$ 26.961,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
33708,4856,JOVEM PAN NEWS TV,56.137.979/0001-07,CALIA/Y2,04.784.569/0002-27,Governo Fraterno,20/12/2021,31/12/2021,"R$ 189.000,00000","R$ 179.550,00000",JOVEM PAN,FECHADA,FILME HDTV,2021,2021,Veiculado
33712,4860,GLOBO NEWS,27.865.757/0001-02,NOVA S/B,57.118.929/0002-18,Governo Trabalhador,21/12/2021,30/12/2021,"R$ 22.843,00000","R$ 21.700,85000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
33734,4882,GLOBO NEWS,27.865.757/0001-02,CALIA/Y2,04.784.569/0002-27,Governo Fraterno,21/12/2021,31/12/2021,"R$ 61.645,50000","R$ 58.563,22000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
33772,4920,CNN Brasil,32.161.939/0001-24,CALIA/Y2,04.784.569/0002-27,Peste Suína Africana,30/10/2021,30/10/2021,"R$ 22.000,00000","R$ 20.900,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
33774,4922,CNN Brasil,32.161.939/0001-24,CALIA/Y2,04.784.569/0002-27,Peste Suína Africana,05/11/2021,19/11/2021,"R$ 11.000,00000","R$ 10.450,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
33783,4931,CNN Brasil,32.161.939/0001-24,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Campanha 5G,25/10/2021,28/10/2021,"R$ 10.642,50000","R$ 10.110,37000",,FECHADA,FILME HDTV,2021,2021,Veiculado
33800,4948,CNN Brasil,32.161.939/0001-24,CALIA/Y2,04.784.569/0002-27,Governo Fraterno,02/01/2022,02/01/2022,"R$ 7.150,00000","R$ 6.792,50000",,FECHADA,FILME HDTV,2021,2021,Veiculado
33801,4949,CNN Brasil,32.161.939/0001-24,CALIA/Y2,04.784.569/0002-27,Governo Fraterno,02/01/2022,02/01/2022,"R$ 11.000,00000","R$ 10.450,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
33828,4976,CNN Brasil,32.161.939/0001-24,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Campanha 5G,22/11/2021,22/11/2021,"R$ 11.000,00000","R$ 10.450,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
33830,4978,JOVEM PAN NEWS TV,56.137.979/0001-07,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Campanha 5G,17/11/2021,18/11/2021,"R$ 10.200,00000","R$ 9.690,00000",JOVEM PAN,FECHADA,FILME HDTV,2021,2021,Planejado
33843,4991,CNN Brasil,32.161.939/0001-24,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Campanha de Prestação de Contas,13/11/2021,20/11/2021,"R$ 26.400,00000","R$ 25.080,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
33847,4995,JOVEM PAN NEWS TV,56.137.979/0001-07,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Campanha 5G,16/11/2021,22/11/2021,"R$ 27.000,00000","R$ 25.650,00000",JOVEM PAN,FECHADA,FILME HDTV,2021,2021,Planejado
33848,4996,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Campanha 5G,25/10/2021,27/10/2021,"R$ 47.495,70000","R$ 45.120,91000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
33852,5000,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Campanha 5G,26/10/2021,28/10/2021,"R$ 23.486,40000","R$ 22.312,08000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
33864,5012,CNN Brasil,32.161.939/0001-24,CALIA/Y2,04.784.569/0002-27,Combate aos Incêndios Florestais,27/08/2021,31/08/2021,"R$ 33.000,00000","R$ 31.350,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
33881,5029,CNN Brasil,32.161.939/0001-24,CALIA/Y2,04.784.569/0002-27,Governo Fraterno,19/12/2021,26/12/2021,"R$ 22.000,00000","R$ 20.900,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
33910,5058,GLOBO NEWS,27.865.757/0001-02,CALIA/Y2,04.784.569/0002-27,Combate aos Incêndios Florestais,27/08/2021,31/08/2021,"R$ 10.530,00000","R$ 10.003,50000",GLOBO,FECHADA,FILME HDTV,2021,2021,Planejado
34211,5359,CNN Brasil,32.161.939/0001-24,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,PREVENÇÃO COVID-19,15/06/2021,24/06/2021,"R$ 18.920,00000","R$ 17.974,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
34693,5841,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,PREVENÇÃO COVID-19,15/06/2021,29/06/2021,"R$ 22.412,00000","R$ 21.291,40000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
34892,6040,GLOBO NEWS,27.865.757/0001-02,CALIA/Y2,04.784.569/0001-46,CAMPANHA BRASIL FRATERNO - TV,14/10/2021,27/10/2021,"R$ 47.112,00000","R$ 44.756,40000",GLOBO,FECHADA,30,2021,2021,Veiculado
34893,6041,GLOBO NEWS,27.865.757/0001-02,CALIA/Y2,04.784.569/0001-46,VACINAÇÃO 2ª DOSE + REFORÇO DE COVID-19 - TV,10/01/2022,26/01/2022,"R$ 142.272,00000","R$ 135.158,40000",GLOBO,FECHADA,30,2021,2021,Veiculado
34894,6042,GLOBO NEWS,27.865.757/0001-02,CALIA/Y2,04.784.569/0001-46,VACINAÇÃO 2ª DOSE + REFORÇO DE COVID-19 - TV,10/01/2022,26/01/2022,"R$ 465.753,60000","R$ 442.465,92000",GLOBO,FECHADA,30,2021,2021,Veiculado
34901,6049,CNN Brasil,32.161.939/0001-24,CALIA/Y2,04.784.569/0001-46,VACINAÇÃO 2ª DOSE + REFORÇO DE COVID-19 - TV,10/01/2022,26/01/2022,"R$ 40.810,00000","R$ 38.769,50000",,FECHADA,30,2021,2021,Veiculado
34902,6050,CNN Brasil,32.161.939/0001-24,CALIA/Y2,04.784.569/0001-46,VACINAÇÃO 2ª DOSE + REFORÇO DE COVID-19 - TV,10/01/2022,26/01/2022,"R$ 187.000,00000","R$ 177.650,00000",,FECHADA,30,2021,2021,Veiculado
34903,6051,JOVEM PAN NEWS TV,56.137.979/0001-07,CALIA/Y2,04.784.569/0001-46,VACINAÇÃO 2ª DOSE + REFORÇO DE COVID-19 - TV,10/01/2022,26/01/2022,"R$ 45.900,00000","R$ 43.605,00000",JOVEM PAN,FECHADA,30,2021,2021,Veiculado
34904,6052,JOVEM PAN NEWS TV,56.137.979/0001-07,CALIA/Y2,04.784.569/0001-46,VACINAÇÃO 2ª DOSE + REFORÇO DE COVID-19 - TV,10/01/2022,26/01/2022,"R$ 39.600,00000","R$ 37.620,00000",JOVEM PAN,FECHADA,30,2021,2021,Veiculado
34905,6053,JOVEM PAN NEWS TV,56.137.979/0001-07,CALIA/Y2,04.784.569/0001-46,VACINAÇÃO 2ª DOSE + REFORÇO DE COVID-19 - TV,10/01/2022,26/01/2022,"R$ 94.500,00000","R$ 89.775,00000",JOVEM PAN,FECHADA,30,2021,2021,Veiculado
35084,6232,CNN Brasil,32.161.939/0001-24,CALIA/Y2,04.784.569/0002-27,Combate aos Ilícitos Ambientais ,13/08/2021,13/08/2021,"R$ 2.365,00000","R$ 2.246,75000",,FECHADA,FILME HDTV,2021,2021,Veiculado
35125,6273,CNN Brasil,32.161.939/0001-24,CALIA/Y2,04.784.569/0002-27,Combate aos Incêndios Florestais,01/09/2021,08/09/2021,"R$ 23.100,00000","R$ 21.945,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
35183,6331,CNN Brasil,32.161.939/0001-24,CALIA/Y2,04.784.569/0002-27,Campanha Uso Consciente de Energia e Água - Complementar 1 ,16/06/2021,18/06/2021,"R$ 22.000,00000","R$ 20.900,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
35295,6443,CNN Brasil,32.161.939/0001-24,CALIA/Y2,04.784.569/0002-27,Pressupostos para a Retomada Econômica,16/07/2021,26/07/2021,"R$ 66.000,00000","R$ 62.700,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
35298,6446,CNN Brasil,32.161.939/0001-24,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,PREVENÇÃO COVID-19,15/06/2021,29/06/2021,"R$ 35.200,00000","R$ 33.440,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
35334,6482,GLOBO NEWS,27.865.757/0001-02,CALIA/Y2,04.784.569/0002-27,Pressupostos para a Retomada Econômica,15/07/2021,27/07/2021,"R$ 22.131,20000","R$ 21.024,64000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
35461,6609,GLOBO NEWS,27.865.757/0001-02,CALIA/Y2,04.784.569/0002-27,Campanha Uso Consciente de Energia e Água - Complementar 1 ,16/06/2021,21/06/2021,"R$ 28.267,20000","R$ 26.853,84000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
35492,6640,CNN Brasil,32.161.939/0001-24,CALIA/Y2,04.784.569/0002-27,Pressupostos para a Retomada Econômica,15/07/2021,28/07/2021,"R$ 20.405,00000","R$ 19.384,75000",,FECHADA,FILME HDTV,2021,2021,Veiculado
35998,7146,GLOBO NEWS,27.865.757/0001-02,Agência Nacional,61.704.482/0001-55,DME - AÇÕES PARA RETOMADA DO TURISMO - MIDIA (Agência Nacional),03/12/2021,24/12/2021,"R$ 76.912,00000","R$ 73.066,40000",GLOBO,FECHADA,30,2021,2021,Veiculado
35999,7147,GLOBO NEWS,27.865.757/0001-02,Agência Nacional,61.704.482/0001-55,DME - AÇÕES PARA RETOMADA DO TURISMO - MIDIA (Agência Nacional),08/12/2021,22/12/2021,"R$ 89.568,00000","R$ 85.089,60000",GLOBO,FECHADA,30,2021,2021,Veiculado
36105,7253,CNN Brasil,32.161.939/0001-24,Companhia de Comunicação e Publicidade Ltda,69.277.291/0001-66,Campanha Nacional de Vacinação Contra a Covid-19 em 2021 - Fase 1 - CC&P,26/01/2021,31/01/2021,"R$ 19.800,00000","R$ 18.810,00000",,FECHADA,30,2021,2021,Veiculado
36106,7254,CNN Brasil,32.161.939/0001-24,Companhia de Comunicação e Publicidade Ltda,69.277.291/0001-66,Campanha Nacional de Vacinação Contra a Covid-19 em 2021 - Fase 1 - CC&P,26/01/2021,31/01/2021,"R$ 29.700,00000","R$ 28.215,00000",,FECHADA,30,2021,2021,Veiculado
36107,7255,CNN Brasil,32.161.939/0001-24,Companhia de Comunicação e Publicidade Ltda,69.277.291/0001-66,Campanha Nacional de Vacinação Contra a Covid-19 em 2021 - Fase 1 - CC&P,26/01/2021,31/01/2021,"R$ 22.000,00000","R$ 20.900,00000",,FECHADA,30,2021,2021,Veiculado
36108,7256,CNN Brasil,32.161.939/0001-24,Companhia de Comunicação e Publicidade Ltda,69.277.291/0001-66,Campanha Nacional de Vacinação Contra a Covid-19 em 2021 - Fase 1 - CC&P,26/01/2021,31/01/2021,"R$ 39.600,00000","R$ 37.620,00000",,FECHADA,30,2021,2021,Veiculado
36113,7261,CNN Brasil,32.161.939/0001-24,Companhia de Comunicação e Publicidade Ltda,69.277.291/0001-66,Campanha Nacional de Vacinação Contra a Covid-19 em 2021 - Fase 1 - CC&P,26/01/2021,31/01/2021,"R$ 5.830,00000","R$ 5.538,50000",,FECHADA,30,2021,2021,Veiculado
36114,7262,CNN Brasil,32.161.939/0001-24,Companhia de Comunicação e Publicidade Ltda,69.277.291/0001-66,Campanha Nacional de Vacinação Contra a Covid-19 em 2021 - Fase 1 - CC&P,26/01/2021,31/01/2021,"R$ 3.547,50000","R$ 3.370,12500",,FECHADA,30,2021,2021,Veiculado
36115,7263,CNN Brasil,32.161.939/0001-24,Companhia de Comunicação e Publicidade Ltda,69.277.291/0001-66,Campanha Nacional de Vacinação Contra a Covid-19 em 2021 - Fase 1 - CC&P,26/01/2021,31/01/2021,"R$ 11.550,00000","R$ 10.972,50000",,FECHADA,30,2021,2021,Veiculado
36132,7280,JOVEM PAN NEWS TV,56.137.979/0001-07,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Governo Trabalhador,19/01/2022,28/01/2022,"R$ 16.500,00000","R$ 15.675,00000",JOVEM PAN,FECHADA,FILME HDTV,2021,2021,Veiculado
36240,7388,GLOBO NEWS,27.865.757/0001-02,CALIA/Y2,04.784.569/0001-46,Campanha de Testagem Covid - 19 - Calia,19/07/2021,28/07/2021,"R$ 150.758,40000","R$ 143.220,48000",GLOBO,FECHADA,30,2021,2021,Veiculado
36272,7420,CNN Brasil,32.161.939/0001-24,CALIA/Y2,04.784.569/0001-46,Campanha de Testagem Covid - 19 - Calia,23/07/2021,27/07/2021,"R$ 8.162,00000","R$ 7.753,90000",,FECHADA,30,2021,2021,Veiculado
36273,7421,CNN Brasil,32.161.939/0001-24,CALIA/Y2,04.784.569/0001-46,Campanha de Testagem Covid - 19 - Calia,19/07/2021,30/07/2021,"R$ 110.000,00000","R$ 104.500,00000",,FECHADA,30,2021,2021,Veiculado
36327,7475,CNN Brasil,32.161.939/0001-24,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Reforma Tributária,23/08/2021,23/08/2021,"R$ 6.600,00000","R$ 6.270,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
36362,7510,CNN Brasil,32.161.939/0001-24,CALIA/Y2,04.784.569/0002-27,Desestatização dos Serviços Postais,09/08/2021,09/08/2021,"R$ 26.400,00000","R$ 25.080,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
36382,7530,GLOBO NEWS,27.865.757/0001-02,CALIA/Y2,04.784.569/0002-27,Desestatização dos Serviços Postais,05/08/2021,05/08/2021,"R$ 9.692,80000","R$ 9.208,16000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
36474,7622,GLOBO NEWS,27.865.757/0001-02,CALIA/Y2,04.784.569/0002-27,Combate aos Ilícitos Ambientais ,21/08/2021,21/08/2021,"R$ 18.844,80000","R$ 17.902,56000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
