,Unnamed: 0,Nome do veículo,CNPJ do veículo,Agência/Contratada,CNPJ da Agência/Contratada,Nome da ação,Data início da veiculação,Data término da veiculação,Valor negociado (R$),Valor desembolso anunciante (R$),Grupo,Tipo televisão,Formato,Ano ação,Ano autorização,Status da veiculação
29023,171,GLOBO NEWS,27.865.757/0001-02,CALIA/Y2,04.784.569/0002-27,Pressupostos para a Retomada Econômica,15/07/2021,15/07/2021,"R$ 3.161,60000","R$ 3.003,52000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
29042,190,CNN Brasil,32.161.939/0001-24,CALIA/Y2,04.784.569/0002-27,Combate aos Incêndios Florestais - Complementar,30/08/2021,31/08/2021,"R$ 22.000,00000","R$ 20.900,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
29044,192,GLOBO NEWS,27.865.757/0001-02,CALIA/Y2,04.784.569/0002-27,Desestatização dos Serviços Postais,03/08/2021,09/08/2021,"R$ 58.156,80000","R$ 55.248,96000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
29109,257,JOVEM PAN NEWS TV,56.137.979/0001-07,Agência Nacional,61.704.482/0001-55,CAMPANHA AUXILIO BRASIL - PROJETO JOVEM PAN,13/11/2021,16/11/2021,"R$ 6.986,55000","R$ 6.637,22250",JOVEM PAN,FECHADA,30,2021,2021,Veiculado
29110,258,JOVEM PAN NEWS TV,56.137.979/0001-07,Agência Nacional,61.704.482/0001-55,CAMPANHA AUXILIO BRASIL - PROJETO JOVEM PAN,13/11/2021,16/11/2021,"R$ 5.589,24000","R$ 5.309,77800",JOVEM PAN,FECHADA,30,2021,2021,Veiculado
29111,259,JOVEM PAN NEWS TV,56.137.979/0001-07,Agência Nacional,61.704.482/0001-55,CAMPANHA AUXILIO BRASIL - PROJETO JOVEM PAN,13/11/2021,30/11/2021,"R$ 68.933,96000","R$ 65.487,26200",JOVEM PAN,FECHADA,30,2021,2021,Veiculado
29112,260,JOVEM PAN NEWS TV,56.137.979/0001-07,Agência Nacional,61.704.482/0001-55,CAMPANHA AUXILIO BRASIL - PROJETO JOVEM PAN,16/11/2021,16/11/2021,"R$ 1.863,08000","R$ 1.769,92600",JOVEM PAN,FECHADA,30,2021,2021,Veiculado
29113,261,JOVEM PAN NEWS TV,56.137.979/0001-07,Agência Nacional,61.704.482/0001-55,CAMPANHA AUXILIO BRASIL - PROJETO JOVEM PAN,17/11/2021,17/11/2021,"R$ 791,80900","R$ 752,21855",JOVEM PAN,FECHADA,30,2021,2021,Veiculado
29114,262,JOVEM PAN NEWS TV,56.137.979/0001-07,Agência Nacional,61.704.482/0001-55,CAMPANHA AUXILIO BRASIL - PROJETO JOVEM PAN,17/11/2021,17/11/2021,"R$ 558,92400","R$ 530,97780",JOVEM PAN,FECHADA,30,2021,2021,Veiculado
29115,263,JOVEM PAN NEWS TV,56.137.979/0001-07,Agência Nacional,61.704.482/0001-55,CAMPANHA AUXILIO BRASIL - PROJETO JOVEM PAN,13/11/2021,24/11/2021,"R$ 5.030,31600","R$ 4.778,80020",JOVEM PAN,FECHADA,30,2021,2021,Veiculado
29116,264,JOVEM PAN NEWS TV,56.137.979/0001-07,Agência Nacional,61.704.482/0001-55,CAMPANHA AUXILIO BRASIL - PROJETO JOVEM PAN,13/11/2021,15/11/2021,"R$ 13.041,56000","R$ 12.389,48200",JOVEM PAN,FECHADA,30,2021,2021,Veiculado
29165,313,GLOBO NEWS,27.865.757/0001-02,CALIA/Y2,04.784.569/0002-27,Combate aos Incêndios Florestais,01/09/2021,10/09/2021,"R$ 28.080,00000","R$ 26.676,00000",GLOBO,FECHADA,FILME HDTV,2021,2021,Planejado
29177,325,GLOBO NEWS,27.865.757/0001-02,CALIA/Y2,04.784.569/0002-27,Combate aos Incêndios Florestais - Complementar,30/08/2021,31/08/2021,"R$ 7.020,00000","R$ 6.669,00000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
29178,326,GLOBO NEWS,27.865.757/0001-02,CALIA/Y2,04.784.569/0002-27,Combate aos Incêndios Florestais - Complementar,30/08/2021,31/08/2021,"R$ 29.078,40000","R$ 27.624,48000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
29344,492,GLOBO NEWS,27.865.757/0001-02,CALIA/Y2,04.784.569/0002-27,Desestatização dos Serviços Postais,03/08/2021,09/08/2021,"R$ 34.777,60000","R$ 33.038,72000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
29348,496,CNN Brasil,32.161.939/0001-24,CALIA/Y2,04.784.569/0002-27,Desestatização dos Serviços Postais,03/08/2021,06/08/2021,"R$ 105.600,00000","R$ 100.320,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
29387,535,GLOBO NEWS,27.865.757/0001-02,CALIA/Y2,04.784.569/0002-27,Combate aos Ilícitos Ambientais ,23/08/2021,23/08/2021,"R$ 9.692,80000","R$ 9.208,16000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
29389,537,GLOBO NEWS,27.865.757/0001-02,CALIA/Y2,04.784.569/0002-27,Desestatização dos Serviços Postais,05/08/2021,08/08/2021,"R$ 113.068,80000","R$ 107.415,36000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
29418,566,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,PREVENÇÃO COVID-19,15/06/2021,21/06/2021,"R$ 37.689,60000","R$ 35.805,12000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
29502,650,CNN Brasil,32.161.939/0001-24,FIELDS,03.509.498/0001-00,Campanha Nacional de Vacinação contra a Covid-19 em 2021- Fase 5 - FIELDS,12/05/2021,31/05/2021,"R$ 39.600,00000","R$ 37.620,00000",,FECHADA,30,2021,2021,Veiculado
29625,773,GLOBO NEWS,27.865.757/0001-02,CALIA/Y2,04.784.569/0001-46,CAMPANHA BRASIL FRATERNO - TV,14/10/2021,27/10/2021,"R$ 2.766,40000","R$ 2.628,08000",GLOBO,FECHADA,30,2021,2021,Veiculado
29633,781,CNN Brasil,32.161.939/0001-24,CALIA/Y2,04.784.569/0001-46,CAMPANHA BRASIL FRATERNO - TV,14/10/2021,27/10/2021,"R$ 44.000,00000","R$ 41.800,00000",,FECHADA,30,2021,2021,Veiculado
29844,992,CNN Brasil,32.161.939/0001-24,PROPEG COMUNICAÇÃO,05.428.409/0001-27,AÇÕES PARA RETOMADA DO TURISMO - COMPLEMENTAR II (Ag. Propeg),10/01/2022,18/01/2022,"R$ 92.400,00000","R$ 87.780,00000",,FECHADA,30,2021,2021,Veiculado
30443,1591,GLOBO NEWS,27.865.757/0001-02,CALIA/Y2,04.784.569/0002-27,Governo Fraterno,01/01/2022,02/01/2022,"R$ 31.663,80000","R$ 30.080,61000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
30449,1597,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Governo Trabalhador,19/01/2022,28/01/2022,"R$ 47.722,50000","R$ 45.336,37000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
30450,1598,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Governo Trabalhador,22/01/2022,22/01/2022,"R$ 11.415,60000","R$ 10.844,82000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
30451,1599,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Governo Trabalhador,19/01/2022,29/01/2022,"R$ 79.159,50000","R$ 75.201,52000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
30468,1616,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Governo Honesto,04/02/2022,09/02/2022,"R$ 23.486,40000","R$ 22.312,08000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
30470,1618,CNN Brasil,32.161.939/0001-24,CALIA/Y2,04.784.569/0002-27,Governo Fraterno,01/01/2022,01/01/2022,"R$ 13.200,00000","R$ 12.540,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
30471,1619,JOVEM PAN NEWS TV,56.137.979/0001-07,CALIA/Y2,04.784.569/0002-27,Governo Fraterno,22/12/2021,22/12/2021,"R$ 10.800,00000","R$ 10.260,00000",JOVEM PAN,FECHADA,FILME HDTV,2021,2021,Veiculado
30580,1728,CNN Brasil,32.161.939/0001-24,CALIA/Y2,04.784.569/0002-27,Desestatização dos Serviços Postais,09/08/2021,09/08/2021,"R$ 22.000,00000","R$ 20.900,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
30624,1772,GLOBO NEWS,27.865.757/0001-02,CALIA/Y2,04.784.569/0002-27,Campanha Uso Consciente de Energia e Água - Complementar 1 ,16/06/2021,22/06/2021,"R$ 6.323,20000","R$ 6.007,04000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
30634,1782,GLOBO NEWS,27.865.757/0001-02,CALIA/Y2,04.784.569/0002-27,Combate aos Ilícitos Ambientais ,24/08/2021,30/08/2021,"R$ 12.646,40000","R$ 12.014,08000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
30657,1805,GLOBO NEWS,27.865.757/0001-02,CALIA/Y2,04.784.569/0002-27,Desestatização dos Serviços Postais,05/08/2021,06/08/2021,"R$ 23.634,00000","R$ 22.452,30000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
30660,1808,CNN Brasil,32.161.939/0001-24,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,PREVENÇÃO COVID-19,18/06/2021,25/06/2021,"R$ 5.940,00000","R$ 5.643,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
30759,1907,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Reforma Tributária,16/08/2021,20/08/2021,"R$ 19.385,60000","R$ 18.416,32000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
30760,1908,CNN Brasil,32.161.939/0001-24,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Reforma Tributária,16/08/2021,20/08/2021,"R$ 26.400,00000","R$ 25.080,00000",,FECHADA,FILME HDTV,2021,2021,Veiculado
30766,1914,GLOBO NEWS,27.865.757/0001-02,CALIA/Y2,04.784.569/0002-27,Combate aos Incêndios Florestais - Complementar,30/08/2021,31/08/2021,"R$ 23.634,00000","R$ 22.452,30000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
31055,2203,JOVEM PAN NEWS TV,56.137.979/0001-07,Agência Nacional,61.704.482/0001-55,CAMPANHA AUXILIO BRASIL - PROJETO JOVEM PAN,16/11/2021,16/11/2021,"R$ 7.452,32000","R$ 7.079,70400",JOVEM PAN,FECHADA,30,2021,2021,Planejado
31056,2204,JOVEM PAN NEWS TV,56.137.979/0001-07,Agência Nacional,61.704.482/0001-55,CAMPANHA AUXILIO BRASIL - PROJETO JOVEM PAN,13/11/2021,16/11/2021,"R$ 2.095,96500","R$ 1.991,16675",JOVEM PAN,FECHADA,5,2021,2021,Planejado
31057,2205,JOVEM PAN NEWS TV,56.137.979/0001-07,Agência Nacional,61.704.482/0001-55,CAMPANHA AUXILIO BRASIL - PROJETO JOVEM PAN,13/11/2021,16/11/2021,"R$ 1.676,77200","R$ 1.592,93340",JOVEM PAN,FECHADA,5,2021,2021,Planejado
31058,2206,JOVEM PAN NEWS TV,56.137.979/0001-07,Agência Nacional,61.704.482/0001-55,CAMPANHA AUXILIO BRASIL - PROJETO JOVEM PAN,13/11/2021,15/11/2021,"R$ 3.912,46800","R$ 3.716,84460",JOVEM PAN,FECHADA,5,2021,2021,Planejado
31059,2207,JOVEM PAN NEWS TV,56.137.979/0001-07,Agência Nacional,61.704.482/0001-55,CAMPANHA AUXILIO BRASIL - PROJETO JOVEM PAN,16/11/2021,16/11/2021,"R$ 558,92400","R$ 530,97780",JOVEM PAN,FECHADA,5,2021,2021,Planejado
31060,2208,JOVEM PAN NEWS TV,56.137.979/0001-07,Agência Nacional,61.704.482/0001-55,CAMPANHA AUXILIO BRASIL - PROJETO JOVEM PAN,17/11/2021,17/11/2021,"R$ 237,54270","R$ 225,66557",JOVEM PAN,FECHADA,5,2021,2021,Planejado
31111,2259,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Governo Trabalhador,25/01/2022,25/01/2022,"R$ 2.284,30000","R$ 2.170,08000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
31358,2506,GLOBO NEWS,27.865.757/0001-02,Agência Nacional,61.704.482/0001-55,SNDTUR - CAMPANHA DE RETOMADA DO TURISMO - COMPLEMENTAR III -   (Agência Nacional),20/12/2021,29/12/2021,"R$ 38.143,48800","R$ 36.236,31360",GLOBO,FECHADA,30,2021,2021,Veiculado
31359,2507,GLOBO NEWS,27.865.757/0001-02,Agência Nacional,61.704.482/0001-55,SNDTUR - CAMPANHA DE RETOMADA DO TURISMO - COMPLEMENTAR III -   (Agência Nacional),21/12/2021,29/12/2021,"R$ 119.293,38000","R$ 113.328,71100",GLOBO,FECHADA,30,2021,2021,Veiculado
31542,2690,JOVEM PAN NEWS TV,56.137.979/0001-07,PROPEG COMUNICAÇÃO,05.428.409/0001-27,AÇÕES PARA RETOMADA DO TURISMO - COMPLEMENTAR II (Ag. Propeg),10/01/2022,18/01/2022,"R$ 35.700,00000","R$ 33.915,00000",JOVEM PAN,FECHADA,30,2021,2021,Veiculado
31543,2691,GLOBO NEWS,27.865.757/0001-02,PROPEG COMUNICAÇÃO,05.428.409/0001-27,AÇÕES PARA RETOMADA DO TURISMO - COMPLEMENTAR II (Ag. Propeg),08/01/2022,15/01/2022,"R$ 26.752,00000","R$ 25.414,40000",GLOBO,FECHADA,30,2021,2021,Veiculado
31544,2692,GLOBO NEWS,27.865.757/0001-02,PROPEG COMUNICAÇÃO,05.428.409/0001-27,AÇÕES PARA RETOMADA DO TURISMO - COMPLEMENTAR II (Ag. Propeg),08/01/2022,16/01/2022,"R$ 86.976,00000","R$ 82.627,20000",GLOBO,FECHADA,30,2021,2021,Veiculado
31628,2776,JOVEM PAN NEWS TV,56.137.979/0001-07,Agência Nacional,61.704.482/0001-55,CAMPANHA AUXILIO BRASIL - PROJETO JOVEM PAN,17/11/2021,17/11/2021,"R$ 167,67720","R$ 159,29334",JOVEM PAN,FECHADA,5,2021,2021,Planejado
31638,2786,JOVEM PAN NEWS TV,56.137.979/0001-07,Agência Nacional,61.704.482/0001-55,CAMPANHA AUXILIO BRASIL - PROJETO JOVEM PAN,16/11/2021,16/11/2021,"R$ 1.676,77200","R$ 1.592,93340",JOVEM PAN,FECHADA,5,2021,2021,Planejado
31639,2787,JOVEM PAN NEWS TV,56.137.979/0001-07,Agência Nacional,61.704.482/0001-55,CAMPANHA AUXILIO BRASIL - PROJETO JOVEM PAN,16/11/2021,16/11/2021,"R$ 4.471,39200","R$ 4.247,82240",JOVEM PAN,FECHADA,10,2021,2021,Planejado
31669,2817,GLOBO NEWS,27.865.757/0001-02,FIELDS,03.509.498/0001-00,Campanha Nacional de Vacinação Contra a Covid-19 em 2021 - Fase 1 - Fields,26/01/2021,31/01/2021,"R$ 35.568,00000","R$ 33.789,60000",GLOBO,FECHADA,30,2021,2021,Veiculado
31670,2818,GLOBO NEWS,27.865.757/0001-02,FIELDS,03.509.498/0001-00,Campanha Nacional de Vacinação Contra a Covid-19 em 2021 - Fase 1 - Fields,26/01/2021,31/01/2021,"R$ 13.000,00000","R$ 12.350,00000",GLOBO,FECHADA,30,2021,2021,Veiculado
31671,2819,GLOBO NEWS,27.865.757/0001-02,FIELDS,03.509.498/0001-00,Campanha Nacional de Vacinação Contra a Covid-19 em 2021 - Fase 1 - Fields,26/01/2021,31/01/2021,"R$ 43.368,00000","R$ 41.199,60000",GLOBO,FECHADA,30,2021,2021,Veiculado
31672,2820,GLOBO NEWS,27.865.757/0001-02,FIELDS,03.509.498/0001-00,Campanha Nacional de Vacinação Contra a Covid-19 em 2021 - Fase 1 - Fields,26/01/2021,31/01/2021,"R$ 30.420,00000","R$ 28.899,00000",GLOBO,FECHADA,30,2021,2021,Veiculado
31697,2845,GLOBO NEWS,27.865.757/0001-02,CALIA/Y2,04.784.569/0002-27,Desestatização dos Serviços Postais,03/08/2021,09/08/2021,"R$ 169.603,20000","R$ 161.123,04000",GLOBO,FECHADA,FILME HDTV,2021,2021,Veiculado
